報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年20週(05月15日～05月21日),2023年05月24日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
広島県,785,11.06,9,0.13,26,0.36,19,0.26,16,0.22,9,0.13,11,0.15,18,0.25,7,0.1,7,0.1,5,0.07,15,0.21,21,0.29,42,0.58,31,0.43,60,0.83,69,0.96,100,1.39,63,0.88,103,1.45,154,2.17
山口県,757,17.2,12,0.27,4,0.09,11,0.24,11,0.24,13,0.29,19,0.42,16,0.36,16,0.36,5,0.11,8,0.18,16,0.36,14,0.31,20,0.44,45,1,54,1.26,75,1.74,54,1.26,72,1.67,96,2.23,196,4.56
徳島県,156,6.78,2,0.09,3,0.13,11,0.48,8,0.35,13,0.57,9,0.39,5,0.22,2,0.09,5,0.22,2,0.09,2,0.09,5,0.22,5,0.22,6,0.26,5,0.22,7,0.3,13,0.57,10,0.43,11,0.48,32,1.39
香川県,233,8.32,13,0.46,7,0.25,3,0.11,6,0.21,4,0.14,14,0.5,17,0.61,10,0.36,7,0.25,2,0.07,5,0.18,5,0.18,3,0.11,10,0.36,11,0.39,27,0.96,26,0.93,23,0.82,11,0.39,29,1.04
愛媛県,444,12.33,6,0.16,7,0.19,6,0.16,6,0.16,18,0.49,21,0.57,26,0.7,14,0.38,17,0.46,9,0.24,10,0.27,7,0.19,24,0.67,9,0.24,23,0.62,41,1.11,39,1.05,61,1.65,50,1.35,50,1.35
高知県,213,8.19,8,0.3,11,0.41,17,0.63,22,0.81,6,0.22,12,0.44,8,0.3,4,0.15,6,0.22,14,0.52,7,0.26,3,0.11,2,0.07,4,0.15,6,0.22,23,0.85,19,0.7,7,0.26,7,0.27,27,1.04
福岡県,2021,16.84,41,0.34,24,0.2,64,0.53,45,0.38,67,0.56,47,0.39,57,0.48,60,0.5,54,0.45,83,0.69,86,0.72,91,0.76,83,0.69,106,0.88,186,1.55,201,1.68,161,1.34,157,1.31,175,1.46,233,1.94
佐賀県,584,25.39,10,0.43,16,0.7,16,0.7,18,0.78,12,0.52,14,0.61,18,0.78,25,1.09,34,1.48,40,1.74,31,1.35,14,0.61,42,1.83,37,1.61,57,2.48,45,1.96,41,1.78,25,1.09,25,1.09,64,2.78
長崎県,859,19.52,21,0.48,21,0.48,36,0.82,28,0.64,35,0.8,41,0.93,63,1.43,23,0.52,29,0.66,24,0.55,32,0.73,45,1.02,50,1.14,55,1.25,60,1.36,68,1.55,90,2.05,59,1.34,38,0.86,41,0.93
熊本県,814,16.61,14,0.28,32,0.64,84,1.68,71,1.42,57,1.14,59,1.18,53,1.06,53,1.06,43,0.86,41,0.82,59,1.18,41,0.84,32,0.65,15,0.31,30,0.64,29,0.6,10,0.2,30,0.6,33,0.66,28,0.56
大分県,302,8.39,2,0.06,0,0,4,0.11,2,0.06,2,0.06,1,0.03,1,0.03,1,0.03,0,0,0,0,2,0.06,9,0.25,5,0.14,8,0.22,39,1.08,20,0.56,36,1,58,1.61,52,1.44,60,1.67
宮崎県,659,18.83,7,0.19,8,0.22,13,0.37,14,0.39,9,0.25,5,0.14,10,0.28,7,0.19,22,0.61,19,0.53,20,0.56,20,0.56,39,1.08,45,1.25,59,1.64,94,2.61,59,1.69,60,1.67,46,1.28,103,2.86
鹿児島県,1726,32.57,18,0.33,15,0.28,33,0.61,40,0.74,50,0.93,35,0.65,33,0.61,58,1.07,50,0.93,68,1.26,67,1.24,73,1.35,82,1.58,127,2.4,226,4.26,212,4,134,2.53,131,2.47,114,2.15,160,3.02
沖縄県,250,7.81,11,0.33,6,0.18,6,0.18,7,0.21,11,0.33,9,0.28,8,0.25,4,0.13,3,0.09,3,0.09,8,0.25,6,0.19,10,0.3,6,0.18,19,0.59,26,0.81,26,0.81,29,0.94,25,0.81,27,0.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,12635,4.02,364,0.12,362,0.11,386,0.12,375,0.12,406,0.13,389,0.12,529,0.17,494,0.16,487,0.15,528,0.17,530,0.17,505,0.16,578,0.18,541,0.17,615,0.2,828,0.26,978,0.31,882,0.28,1444,0.46,1414,0.45
北海道,769,5.57,36,0.26,34,0.24,37,0.27,26,0.19,39,0.28,20,0.14,26,0.19,36,0.26,23,0.17,26,0.19,40,0.29,25,0.18,32,0.23,22,0.16,36,0.26,55,0.39,50,0.36,47,0.34,77,0.56,82,0.6
青森県,104,2.54,5,0.12,1,0.02,5,0.12,1,0.02,5,0.12,3,0.07,6,0.14,5,0.12,3,0.07,2,0.05,5,0.12,4,0.1,4,0.1,3,0.08,3,0.08,4,0.1,8,0.2,12,0.3,13,0.34,12,0.32
岩手県,64,1.64,4,0.1,1,0.03,4,0.1,2,0.05,3,0.08,3,0.08,2,0.05,1,0.03,3,0.08,4,0.1,5,0.13,3,0.08,6,0.15,2,0.05,1,0.03,7,0.18,2,0.05,0,0,2,0.05,9,0.23
宮城県,185,3.3,6,0.1,8,0.14,11,0.19,10,0.17,2,0.03,9,0.16,12,0.21,5,0.09,6,0.1,5,0.09,4,0.07,7,0.12,8,0.14,3,0.05,10,0.18,19,0.35,22,0.4,13,0.24,13,0.24,12,0.22
秋田県,55,1.67,4,0.12,2,0.06,1,0.03,6,0.18,3,0.09,3,0.09,2,0.06,3,0.09,4,0.12,3,0.09,2,0.06,1,0.03,3,0.09,0,0,1,0.03,1,0.03,5,0.15,2,0.06,1,0.03,8,0.24
山形県,106,3.79,4,0.14,3,0.1,1,0.03,5,0.17,4,0.14,2,0.07,1,0.03,7,0.24,7,0.24,5,0.17,6,0.21,3,0.1,5,0.17,4,0.14,9,0.32,4,0.14,10,0.36,4,0.14,5,0.18,17,0.61
福島県,228,4.65,16,0.32,8,0.16,12,0.24,4,0.08,4,0.08,6,0.12,9,0.18,6,0.12,7,0.14,7,0.14,12,0.24,10,0.2,14,0.28,7,0.14,8,0.16,14,0.28,12,0.24,22,0.44,22,0.45,28,0.57
茨城県,218,2.91,4,0.05,8,0.11,1,0.01,4,0.05,7,0.09,6,0.08,7,0.09,9,0.12,7,0.09,10,0.13,9,0.12,13,0.17,10,0.13,14,0.19,13,0.17,15,0.2,15,0.19,12,0.16,36,0.48,18,0.24
栃木県,73,1.52,2,0.04,1,0.02,1,0.02,1,0.02,2,0.04,1,0.02,4,0.08,1,0.02,6,0.13,3,0.06,2,0.04,4,0.08,4,0.08,3,0.06,4,0.08,3,0.06,6,0.13,8,0.17,6,0.13,11,0.23
群馬県,227,4.28,4,0.08,11,0.21,6,0.11,11,0.21,10,0.19,5,0.09,5,0.09,5,0.09,11,0.21,7,0.13,16,0.3,9,0.17,14,0.26,25,0.46,9,0.17,16,0.3,13,0.24,9,0.17,26,0.48,15,0.28
埼玉県,708,4.43,12,0.08,10,0.06,11,0.07,12,0.07,23,0.14,27,0.17,36,0.23,31,0.19,24,0.15,29,0.18,20,0.13,23,0.14,28,0.18,35,0.21,27,0.17,38,0.23,78,0.48,70,0.43,91,0.56,83,0.51
千葉県,363,2.81,7,0.05,2,0.02,3,0.02,9,0.07,6,0.05,6,0.05,2,0.02,2,0.02,6,0.05,12,0.09,10,0.08,7,0.05,14,0.11,17,0.13,19,0.15,33,0.25,36,0.28,39,0.31,63,0.48,70,0.55
東京都,875,3.38,17,0.07,15,0.06,19,0.07,23,0.09,22,0.08,19,0.07,25,0.1,32,0.12,30,0.12,42,0.16,22,0.09,29,0.11,44,0.17,30,0.12,54,0.21,56,0.22,83,0.32,66,0.26,122,0.47,125,0.48
神奈川県,485,2.15,10,0.04,10,0.04,20,0.09,13,0.06,9,0.04,10,0.04,23,0.1,11,0.05,14,0.06,9,0.04,11,0.05,18,0.08,19,0.08,23,0.1,16,0.07,47,0.21,28,0.13,50,0.22,68,0.3,76,0.33
新潟県,249,4.53,8,0.14,13,0.23,2,0.04,6,0.11,10,0.18,11,0.2,11,0.2,19,0.34,12,0.21,10,0.18,16,0.29,5,0.09,14,0.26,4,0.07,10,0.19,34,0.63,12,0.22,19,0.35,14,0.26,19,0.35
富山県,279,9.62,3,0.1,3,0.1,8,0.28,12,0.41,15,0.52,6,0.21,13,0.45,5,0.17,8,0.28,16,0.55,12,0.41,10,0.34,5,0.17,9,0.31,14,0.48,31,1.07,29,1,16,0.55,29,1,35,1.21
石川県,132,4.55,7,0.24,4,0.14,4,0.14,6,0.21,2,0.07,3,0.1,4,0.14,4,0.14,4,0.14,12,0.41,8,0.28,9,0.31,8,0.28,7,0.24,7,0.24,6,0.21,4,0.14,9,0.31,17,0.59,7,0.24
福井県,239,10.39,9,0.39,4,0.17,9,0.39,9,0.39,8,0.35,11,0.48,22,0.96,14,0.61,14,0.61,5,0.22,6,0.26,6,0.26,7,0.3,11,0.48,11,0.48,14,0.61,17,0.74,15,0.6,24,0.96,23,0.92
山梨県,10,0.42,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,2,0.08,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,2,0.08
長野県,118,2.23,1,0.02,2,0.04,1,0.02,0,0,1,0.02,4,0.08,17,0.32,1,0.02,2,0.04,8,0.15,4,0.08,1,0.02,2,0.04,11,0.21,2,0.04,12,0.23,10,0.19,13,0.25,11,0.2,15,0.28
岐阜県,228,4.38,4,0.08,8,0.15,7,0.13,8,0.15,8,0.15,7,0.13,7,0.13,15,0.28,6,0.11,11,0.21,13,0.25,7,0.13,7,0.14,7,0.13,12,0.23,10,0.19,26,0.49,10,0.19,29,0.55,26,0.49
静岡県,386,4.39,11,0.12,12,0.13,10,0.11,14,0.16,11,0.12,14,0.16,28,0.31,26,0.29,11,0.12,16,0.18,15,0.17,20,0.22,17,0.18,27,0.31,22,0.25,17,0.19,22,0.25,24,0.27,30,0.34,39,0.44
愛知県,528,2.9,16,0.09,11,0.06,10,0.05,8,0.04,16,0.09,17,0.09,16,0.09,22,0.12,25,0.14,36,0.2,27,0.15,20,0.11,22,0.12,25,0.14,25,0.14,25,0.14,45,0.25,48,0.26,59,0.32,55,0.3
三重県,235,5.34,7,0.16,7,0.16,13,0.29,6,0.14,6,0.13,5,0.11,9,0.2,16,0.36,19,0.42,16,0.36,10,0.22,8,0.18,11,0.24,10,0.22,8,0.18,13,0.29,15,0.33,13,0.29,20,0.44,23,0.51
滋賀県,98,2.8,8,0.22,5,0.14,6,0.17,3,0.08,8,0.22,3,0.08,11,0.31,4,0.11,10,0.28,3,0.08,1,0.03,3,0.08,3,0.08,6,0.17,5,0.14,3,0.08,4,0.11,3,0.09,5,0.14,4,0.11
京都府,298,3.97,13,0.17,16,0.21,10,0.13,13,0.17,13,0.17,4,0.05,11,0.14,15,0.2,15,0.2,5,0.07,11,0.14,2,0.03,6,0.08,9,0.12,16,0.21,12,0.16,22,0.3,18,0.24,41,0.54,46,0.6
大阪府,868,4.5,20,0.1,20,0.1,32,0.16,28,0.14,26,0.13,23,0.12,23,0.12,18,0.09,25,0.13,15,0.08,31,0.16,42,0.22,35,0.18,56,0.29,47,0.24,47,0.24,81,0.42,63,0.32,128,0.67,108,0.57
兵庫県,540,4.22,24,0.18,18,0.14,17,0.13,12,0.09,20,0.16,9,0.07,33,0.26,18,0.14,16,0.12,16,0.12,26,0.2,26,0.2,21,0.16,14,0.11,30,0.23,30,0.23,33,0.26,30,0.24,75,0.58,72,0.56
奈良県,119,3.5,5,0.15,7,0.21,8,0.24,8,0.24,7,0.21,4,0.12,0,0,6,0.18,5,0.15,5,0.15,3,0.09,6,0.18,4,0.12,4,0.12,4,0.12,7,0.21,7,0.21,7,0.21,9,0.26,13,0.38
和歌山県,84,2.8,0,0,0,0,3,0.1,4,0.13,4,0.13,2,0.07,5,0.17,1,0.03,0,0,3,0.1,3,0.1,4,0.13,1,0.03,2,0.07,2,0.07,4,0.13,8,0.27,9,0.3,17,0.57,12,0.4
鳥取県,75,3.95,6,0.32,1,0.05,3,0.16,1,0.05,3,0.16,0,0,1,0.05,2,0.11,3,0.16,1,0.05,6,0.32,1,0.05,7,0.37,1,0.05,2,0.11,7,0.37,1,0.05,8,0.42,13,0.68,8,0.42
島根県,86,3.74,2,0.09,1,0.04,2,0.09,0,0,4,0.17,3,0.13,12,0.52,4,0.17,3,0.13,2,0.09,4,0.17,1,0.04,16,0.7,3,0.13,1,0.04,11,0.48,2,0.09,2,0.09,8,0.35,5,0.22
岡山県,208,3.85,5,0.09,26,0.48,2,0.04,10,0.19,4,0.07,12,0.22,13,0.24,9,0.17,8,0.15,13,0.24,6,0.11,4,0.07,6,0.11,7,0.13,9,0.17,12,0.22,8,0.15,10,0.19,16,0.3,28,0.52
広島県,430,6.06,8,0.11,5,0.07,8,0.11,11,0.15,16,0.22,12,0.17,12,0.17,16,0.22,23,0.32,17,0.24,27,0.38,12,0.17,24,0.33,9,0.13,38,0.53,38,0.53,41,0.57,21,0.29,46,0.65,46,0.65
山口県,110,2.5,2,0.04,2,0.04,5,0.11,3,0.07,4,0.09,7,0.16,4,0.09,6,0.13,7,0.16,6,0.13,6,0.13,4,0.09,8,0.18,7,0.16,2,0.05,8,0.19,7,0.16,7,0.16,8,0.19,7,0.16
徳島県,64,2.78,0,0,2,0.09,1,0.04,0,0,2,0.09,4,0.17,1,0.04,2,0.09,6,0.26,1,0.04,2,0.09,0,0,5,0.22,5,0.22,7,0.3,4,0.17,2,0.09,2,0.09,9,0.39,9,0.39
香川県,134,4.79,4,0.14,3,0.11,5,0.18,3,0.11,4,0.14,4,0.14,5,0.18,7,0.25,7,0.25,11,0.39,5,0.18,6,0.21,6,0.21,4,0.14,6,0.21,3,0.11,9,0.32,13,0.46,16,0.57,13,0.46
愛媛県,152,4.22,1,0.03,7,0.19,2,0.05,2,0.05,1,0.03,3,0.08,2,0.05,4,0.11,7,0.19,5,0.14,4,0.11,7,0.19,13,0.36,4,0.11,4,0.11,13,0.35,12,0.32,9,0.24,24,0.65,28,0.76
高知県,48,1.85,2,0.07,2,0.07,1,0.04,0,0,1,0.04,0,0,2,0.07,0,0,1,0.04,0,0,3,0.11,4,0.15,8,0.3,1,0.04,3,0.11,2,0.07,3,0.11,6,0.22,8,0.31,1,0.04
福岡県,752,6.27,19,0.16,25,0.21,24,0.2,19,0.16,22,0.18,25,0.21,23,0.19,23,0.19,28,0.23,34,0.28,32,0.27,40,0.33,36,0.3,36,0.3,38,0.32,54,0.45,60,0.5,48,0.4,101,0.84,65,0.54
佐賀県,193,8.39,3,0.13,4,0.17,8,0.35,5,0.22,3,0.13,8,0.35,4,0.17,10,0.43,9,0.39,10,0.43,3,0.13,11,0.48,13,0.57,10,0.43,15,0.65,13,0.57,16,0.7,13,0.57,18,0.78,17,0.74
長崎県,169,3.84,7,0.16,3,0.07,5,0.11,1,0.02,6,0.14,3,0.07,9,0.2,9,0.2,14,0.32,8,0.18,13,0.3,15,0.34,15,0.34,5,0.11,4,0.09,8,0.18,12,0.27,6,0.14,17,0.39,9,0.2
熊本県,222,4.53,5,0.1,5,0.1,11,0.22,3,0.06,6,0.12,11,0.22,8,0.16,12,0.24,12,0.24,31,0.62,10,0.2,6,0.12,9,0.18,12,0.25,7,0.15,11,0.23,11,0.22,18,0.36,12,0.24,22,0.44
大分県,164,4.56,3,0.08,8,0.22,3,0.08,7,0.19,3,0.08,7,0.19,9,0.25,5,0.14,3,0.08,8,0.22,14,0.39,6,0.17,10,0.28,10,0.28,6,0.17,3,0.08,11,0.31,17,0.47,18,0.5,13,0.36
宮崎県,291,8.31,9,0.25,6,0.17,11,0.31,19,0.53,10,0.28,14,0.39,18,0.5,9,0.25,17,0.47,15,0.42,17,0.47,22,0.61,9,0.25,9,0.25,19,0.53,21,0.58,23,0.66,9,0.25,14,0.39,20,0.56
鹿児島県,522,9.85,16,0.3,11,0.2,17,0.31,22,0.41,18,0.33,26,0.48,31,0.57,31,0.57,12,0.22,17,0.31,21,0.39,32,0.59,12,0.23,23,0.43,23,0.43,31,0.58,39,0.74,36,0.68,51,0.96,53,1
沖縄県,144,4.5,5,0.15,7,0.21,6,0.18,4,0.12,4,0.12,7,0.22,5,0.16,6,0.19,4,0.13,8,0.25,5,0.16,8,0.25,13,0.39,4,0.12,6,0.19,12,0.38,17,0.53,6,0.19,12,0.39,5,0.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,35446,11.28,673,0.21,867,0.27,1264,0.4,1271,0.4,1387,0.44,1312,0.42,1648,0.52,1472,0.47,1510,0.48,1605,0.51,1619,0.52,1503,0.48,1625,0.52,1541,0.49,1846,0.59,2520,0.8,2594,0.83,1837,0.59,3155,1.01,4197,1.34
北海道,2504,18.14,53,0.39,49,0.35,76,0.55,81,0.59,76,0.55,110,0.79,154,1.11,125,0.9,119,0.86,110,0.79,154,1.11,129,0.93,105,0.76,118,0.85,133,0.96,171,1.22,208,1.49,97,0.7,185,1.35,251,1.83
青森県,143,3.49,2,0.05,4,0.1,7,0.17,9,0.21,3,0.07,10,0.24,5,0.12,13,0.31,4,0.1,4,0.1,11,0.26,6,0.14,3,0.07,4,0.1,6,0.15,14,0.35,9,0.23,5,0.13,13,0.34,11,0.29
岩手県,804,20.62,13,0.33,10,0.25,35,0.88,27,0.68,58,1.45,60,1.5,55,1.38,46,1.15,62,1.55,42,1.05,35,0.88,25,0.63,24,0.6,33,0.85,24,0.62,62,1.59,56,1.44,20,0.5,46,1.15,71,1.78
宮城県,403,7.2,10,0.17,4,0.07,6,0.1,33,0.57,19,0.33,25,0.43,26,0.45,12,0.21,20,0.34,20,0.34,22,0.38,6,0.1,11,0.19,18,0.32,40,0.73,28,0.51,19,0.35,18,0.33,23,0.43,43,0.8
秋田県,260,7.88,6,0.18,6,0.18,15,0.45,14,0.42,13,0.39,11,0.33,15,0.45,14,0.42,12,0.36,12,0.36,29,0.88,12,0.36,18,0.55,11,0.32,10,0.29,15,0.44,15,0.44,2,0.06,14,0.41,16,0.47
山形県,230,8.21,5,0.17,4,0.14,20,0.69,12,0.41,16,0.55,11,0.38,13,0.45,19,0.66,12,0.41,11,0.38,19,0.66,8,0.28,8,0.28,10,0.36,9,0.32,10,0.36,12,0.43,4,0.14,8,0.29,19,0.68
福島県,533,10.88,4,0.08,6,0.12,23,0.46,15,0.3,25,0.5,25,0.5,26,0.52,23,0.46,28,0.56,29,0.58,29,0.58,23,0.46,16,0.32,20,0.4,28,0.56,37,0.74,26,0.52,30,0.6,46,0.94,74,1.51
茨城県,833,11.11,19,0.25,14,0.19,19,0.25,59,0.79,22,0.29,15,0.2,39,0.52,42,0.56,17,0.23,50,0.67,29,0.39,36,0.48,33,0.43,35,0.47,30,0.4,52,0.69,54,0.7,63,0.84,85,1.13,120,1.6
栃木県,414,8.63,7,0.15,3,0.06,17,0.35,19,0.4,16,0.33,16,0.33,36,0.75,24,0.5,13,0.27,15,0.31,19,0.4,16,0.33,24,0.5,20,0.42,26,0.54,23,0.48,19,0.4,18,0.38,29,0.6,54,1.13
群馬県,293,5.53,5,0.09,5,0.09,13,0.25,7,0.13,7,0.13,7,0.13,24,0.45,8,0.15,24,0.45,15,0.28,7,0.13,14,0.26,22,0.42,12,0.22,20,0.37,18,0.33,16,0.3,15,0.28,22,0.41,32,0.59
埼玉県,1448,9.05,26,0.17,36,0.23,67,0.42,44,0.27,55,0.34,65,0.4,59,0.37,41,0.25,54,0.34,45,0.28,51,0.32,46,0.29,62,0.39,71,0.44,58,0.36,97,0.6,118,0.73,93,0.57,150,0.92,210,1.29
千葉県,1175,9.11,22,0.17,30,0.23,25,0.19,36,0.27,48,0.36,43,0.33,66,0.5,47,0.36,75,0.57,51,0.39,63,0.5,33,0.25,63,0.49,46,0.36,38,0.29,85,0.65,78,0.6,51,0.4,125,0.96,150,1.18
東京都,2514,9.71,28,0.11,39,0.15,64,0.25,59,0.23,62,0.24,81,0.31,92,0.35,105,0.41,93,0.36,103,0.4,100,0.39,93,0.36,88,0.34,99,0.38,139,0.53,190,0.73,198,0.76,171,0.66,293,1.12,417,1.6
神奈川県,1745,7.72,27,0.12,45,0.2,62,0.27,63,0.28,56,0.25,60,0.27,74,0.33,64,0.28,72,0.31,60,0.27,58,0.26,71,0.31,93,0.41,73,0.32,94,0.42,131,0.58,106,0.47,80,0.36,210,0.92,246,1.07
新潟県,1098,19.96,19,0.34,27,0.48,41,0.73,47,0.84,62,1.11,66,1.18,75,1.34,58,1.04,49,0.88,64,1.14,56,1,58,1.04,55,1.02,38,0.7,65,1.2,84,1.56,77,1.43,34,0.63,54,1,69,1.28
富山県,644,22.21,9,0.31,12,0.41,25,0.86,20,0.69,18,0.62,18,0.62,19,0.66,20,0.69,32,1.1,30,1.03,31,1.07,26,0.9,33,1.14,18,0.62,40,1.38,41,1.41,39,1.34,43,1.48,68,2.34,102,3.52
石川県,228,7.86,3,0.1,6,0.21,6,0.21,8,0.28,5,0.17,6,0.21,8,0.28,6,0.21,9,0.31,13,0.45,17,0.59,14,0.48,10,0.34,8,0.28,10,0.34,23,0.79,17,0.59,11,0.38,22,0.76,26,0.9
福井県,391,17,3,0.13,7,0.3,16,0.7,16,0.7,24,1.04,9,0.39,14,0.61,16,0.7,11,0.48,12,0.52,18,0.78,26,1.13,18,0.78,18,0.78,26,1.13,35,1.52,32,1.39,21,0.84,26,1.04,43,1.72
山梨県,32,1.33,2,0.08,3,0.13,0,0,3,0.13,1,0.04,1,0.04,0,0,1,0.04,2,0.08,0,0,1,0.04,0,0,1,0.04,0,0,3,0.13,2,0.08,1,0.04,2,0.08,5,0.21,4,0.17
長野県,213,4.02,13,0.24,13,0.24,12,0.22,9,0.17,31,0.57,4,0.08,10,0.19,4,0.08,8,0.15,7,0.13,6,0.11,4,0.08,11,0.21,7,0.13,4,0.08,10,0.19,18,0.34,7,0.13,13,0.24,22,0.41
岐阜県,292,5.62,5,0.09,3,0.06,8,0.15,2,0.04,8,0.15,2,0.04,6,0.11,12,0.23,6,0.11,7,0.13,10,0.19,9,0.17,17,0.33,18,0.34,27,0.51,25,0.47,19,0.36,24,0.45,35,0.66,49,0.92
静岡県,477,5.42,7,0.08,10,0.11,20,0.22,17,0.19,10,0.11,12,0.13,18,0.2,22,0.25,14,0.16,37,0.42,8,0.09,34,0.38,17,0.18,27,0.31,28,0.32,27,0.31,37,0.42,36,0.41,41,0.46,55,0.62
愛知県,1682,9.24,24,0.13,42,0.23,63,0.35,96,0.53,102,0.56,82,0.45,92,0.51,80,0.44,64,0.35,50,0.27,79,0.43,73,0.4,59,0.32,76,0.42,90,0.49,109,0.6,101,0.55,73,0.4,139,0.76,188,1.03
三重県,233,5.3,9,0.2,11,0.24,7,0.16,13,0.3,9,0.2,9,0.2,3,0.07,4,0.09,7,0.16,3,0.07,5,0.11,16,0.36,20,0.44,15,0.33,5,0.11,19,0.42,15,0.33,18,0.4,21,0.47,24,0.53
滋賀県,295,8.43,7,0.19,3,0.08,19,0.53,6,0.17,11,0.31,0,0,10,0.28,17,0.47,16,0.44,13,0.36,14,0.39,13,0.36,11,0.31,12,0.34,18,0.5,48,1.33,19,0.53,11,0.32,23,0.64,24,0.67
京都府,1272,16.96,25,0.33,54,0.71,66,0.87,54,0.71,50,0.66,31,0.41,64,0.84,65,0.86,49,0.64,63,0.83,53,0.7,48,0.64,66,0.87,50,0.66,35,0.46,84,1.11,93,1.26,67,0.88,104,1.37,151,1.96
大阪府,2671,13.84,33,0.17,51,0.26,75,0.39,111,0.57,71,0.37,88,0.45,83,0.43,67,0.35,92,0.47,71,0.36,126,0.65,99,0.51,111,0.57,123,0.63,156,0.8,213,1.11,242,1.24,153,0.79,293,1.54,413,2.17
兵庫県,996,7.78,16,0.12,27,0.21,41,0.32,25,0.19,34,0.26,37,0.29,39,0.3,41,0.32,38,0.29,39,0.3,33,0.26,23,0.18,47,0.36,36,0.28,54,0.42,72,0.56,64,0.5,54,0.43,124,0.96,152,1.18
奈良県,248,7.29,7,0.21,10,0.29,7,0.21,12,0.35,16,0.47,5,0.15,6,0.18,6,0.18,10,0.29,9,0.26,8,0.24,13,0.38,6,0.18,15,0.44,19,0.56,18,0.53,12,0.35,4,0.12,33,0.97,32,0.94
和歌山県,291,9.7,3,0.1,9,0.3,5,0.17,4,0.13,5,0.17,9,0.3,11,0.37,9,0.3,15,0.5,11,0.37,16,0.53,26,0.87,9,0.3,8,0.27,9,0.3,20,0.67,19,0.63,20,0.67,34,1.13,49,1.63
鳥取県,541,28.47,13,0.68,18,0.95,22,1.16,18,0.95,20,1.05,25,1.32,36,1.89,23,1.21,27,1.42,35,1.84,28,1.47,24,1.26,14,0.74,40,2.11,39,2.05,31,1.63,31,1.63,33,1.74,44,2.32,20,1.05
島根県,93,4.04,3,0.13,3,0.13,3,0.13,4,0.17,2,0.09,7,0.3,8,0.35,3,0.13,3,0.13,6,0.26,4,0.17,6,0.26,4,0.17,4,0.17,1,0.04,4,0.17,8,0.35,5,0.22,7,0.3,8,0.35
岡山県,222,4.11,10,0.19,7,0.13,3,0.06,8,0.15,18,0.33,10,0.19,9,0.17,3,0.06,7,0.13,11,0.2,9,0.17,8,0.15,6,0.11,5,0.09,6,0.11,19,0.35,33,0.61,14,0.26,16,0.3,20,0.37
広島県,735,10.35,9,0.13,14,0.19,23,0.32,20,0.28,22,0.31,40,0.56,22,0.31,24,0.33,30,0.42,38,0.53,17,0.24,41,0.57,36,0.5,24,0.33,35,0.49,50,0.69,67,0.93,45,0.63,71,1,107,1.51
山口県,614,13.95,19,0.42,23,0.51,10,0.22,11,0.24,12,0.27,22,0.49,20,0.44,7,0.16,13,0.29,24,0.53,27,0.6,29,0.64,24,0.53,20,0.44,28,0.65,61,1.42,55,1.28,66,1.53,65,1.51,78,1.81
